route,lat,long,timestamp
Route 33,42.72312,-84.4891,2014-11-21T20:18:12.193Z
Route 33,42.7231,-84.48909,2014-11-21T20:18:01.240Z
Route 33,42.72311,-84.48907,2014-11-21T20:17:06.241Z
Route 33,42.72316,-84.48909,2014-11-21T20:16:46.257Z
Route 30,42.72308,-84.48835,2014-11-21T02:21:16.164Z
Route 30,42.72477,-84.48892,2014-11-21T02:21:05.531Z
Route 30,42.72458,-84.4889,2014-11-21T00:31:09.256Z
Route 30,42.72439,-84.48858,2014-11-21T00:30:56.871Z
Route 30,42.7247,-84.48886,2014-11-20T19:43:28.222Z
Route 30,42.72471,-84.48887,2014-11-20T19:40:15.235Z
Route 30,42.72473,-84.48892,2014-11-20T19:39:34.208Z
Route 30,42.72478,-84.48899,2014-11-20T19:39:05.195Z
Route 30,42.7248,-84.48906,2014-11-20T19:38:44.234Z
Route 30,42.7247,-84.48903,2014-11-20T19:38:26.213Z
Route 30,42.72469,-84.48877,2014-11-20T19:36:09.314Z
Route 30,42.72469,-84.48877,2014-11-20T19:35:07.429Z
Route 30,42.7247,-84.48875,2014-11-20T19:31:50.376Z
Route 30,42.72471,-84.48869,2014-11-20T19:29:30.358Z
Route 30,42.72472,-84.48868,2014-11-20T19:28:32.197Z
Route 30,42.72473,-84.4887,2014-11-20T19:28:23.245Z
Route 30,42.72478,-84.48862,2014-11-20T19:27:54.275Z
Route 30,42.72467,-84.4889,2014-11-20T19:23:25.466Z
Route 30,42.72461,-84.48892,2014-11-20T19:22:35.431Z
Route 30,42.72468,-84.48893,2014-11-20T19:22:15.375Z
Route 30,42.72466,-84.48908,2014-11-20T19:22:05.700Z
Route 30,42.72474,-84.48873,2014-11-20T19:14:10.390Z
Route 30,42.72479,-84.48873,2014-11-20T19:13:20.350Z
Route 33,42.72477,-84.48889,2014-11-20T19:10:11.298Z
Route 30,42.72477,-84.48889,2014-11-20T19:10:07.275Z
Route 30,42.72476,-84.48886,2014-11-20T19:08:10.271Z
Route 30,42.72471,-84.4888,2014-11-20T19:06:59.398Z
Route 30,42.72463,-84.4888,2014-11-20T19:06:49.217Z
Route 30,42.72464,-84.48871,2014-11-20T19:06:39.236Z
Route 30,42.72472,-84.48879,2014-11-20T19:06:28.254Z
Route 30,42.72472,-84.48879,2014-11-20T19:06:01.304Z
Route 30,42.72472,-84.48879,2014-11-20T19:02:58.267Z
Route 30,42.72472,-84.4888,2014-11-20T19:02:37.585Z
Route 30,42.72472,-84.48879,2014-11-20T19:00:59.282Z
Route 33,42.72472,-84.48879,2014-11-20T18:58:27.256Z
Route 33,42.72472,-84.48878,2014-11-20T18:58:03.329Z
Route 33,42.72471,-84.48876,2014-11-20T18:49:07.323Z
Route 33,42.72471,-84.48878,2014-11-20T18:48:31.734Z
Route 30,42.72289,-84.48949,2014-11-19T02:38:09.277Z
Route 30,42.723,-84.48933,2014-11-19T02:37:51.784Z
Route 30,42.72275,-84.48947,2014-11-19T02:35:38.655Z
Route 30,42.72275,-84.48957,2014-11-19T02:35:30.885Z
Route 33,42.72301,-84.48975,2014-11-19T02:34:48.024Z
Route 33,42.72288,-84.48987,2014-11-19T02:32:51.581Z
Route 30,42.72429,-84.48865,2014-11-19T02:17:12.631Z
Route 30,42.72443,-84.48863,2014-11-19T02:16:13.643Z
Route 33,42.72442,-84.48881,2014-11-19T02:07:16.454Z
Route 33,42.72426,-84.48869,2014-11-19T02:05:41.775Z
Route 30,42.72437,-84.48858,2014-11-19T02:05:15.544Z
Route 30,42.72442,-84.48884,2014-11-19T02:02:22.240Z
Route 30,42.72441,-84.48886,2014-11-19T01:59:23.268Z
Route 30,42.72442,-84.4889,2014-11-19T01:58:56.322Z
Route 30,42.72441,-84.48903,2014-11-19T01:58:16.207Z
Route 30,42.72735,-84.48203,2014-11-19T00:07:05.685Z
Route 30,42.72723,-84.48145,2014-11-19T00:04:58.323Z
Route 30,42.72739,-84.48108,2014-11-19T00:01:22.253Z
Route 30,42.72742,-84.48095,2014-11-18T23:59:19.274Z
Route 30,42.72751,-84.48084,2014-11-18T23:57:24.498Z
Route 30,42.72753,-84.48068,2014-11-18T23:56:37.367Z
Route 33,42.72768,-84.48036,2014-11-18T22:43:27.578Z
Route 30,42.72732,-84.48113,2014-11-18T22:37:54.374Z
Route 30,42.72722,-84.48116,2014-11-18T22:36:22.508Z
Route 30,42.72721,-84.48109,2014-11-18T22:33:36.105Z
Route 30,42.72717,-84.4811,2014-11-18T22:26:25.330Z
